iter	Accuracy	MultiClass
0	0.6872424825	1.016139565
1	0.694039265	0.9542985886
2	0.6979772737	0.9046355974
3	0.6991140679	0.8634502334
4	0.700313218	0.8300061926
5	0.7004954888	0.8021613109
6	0.701272538	0.7795613117
7	0.7028937889	0.75935803
8	0.7029609413	0.7438802589
9	0.7031192291	0.7293817029
10	0.7035797027	0.7168896098
11	0.7042080573	0.7061004253
12	0.7048412086	0.6967495331
13	0.7054551734	0.6884157416
14	0.7084482519	0.6791898848
15	0.7110719922	0.6705485953
16	0.7148469165	0.6637144484
17	0.7166984042	0.6582735886
18	0.7190439417	0.6526436706
19	0.7199361093	0.6490218033
20	0.7207707177	0.6444059396
21	0.7212455811	0.640089647
22	0.7221761216	0.6369857536
23	0.7229100014	0.6342123592
24	0.7236390846	0.631859799
25	0.7245120658	0.6293840086
26	0.7245984047	0.6281925194
27	0.7246895401	0.6261138917
28	0.7251979797	0.6239879563
29	0.7256296737	0.6223830733
30	0.7262676215	0.6202449221
31	0.7263539603	0.6188359807
32	0.7266129767	0.6174598368
33	0.7272077551	0.6156907345
34	0.7275051444	0.6145940203
35	0.7279800078	0.6137958594
36	0.728229431	0.6128453245
37	0.7287954298	0.6119217519
38	0.7290160734	0.6109484647
39	0.7295532926	0.6097535704
40	0.7297067838	0.6089254212
41	0.7298890546	0.6083877332
42	0.7300617322	0.6078191299
43	0.7307332563	0.6069281066
44	0.7306996801	0.6064863503
45	0.7307524427	0.6060454559
46	0.7311265775	0.6052958002
47	0.7314623395	0.604578867
48	0.7313184415	0.6039663118
49	0.7317117627	0.6033118977
50	0.7319611859	0.6026607713
51	0.7319611859	0.6020692835
52	0.7321242703	0.601379839
53	0.7323401173	0.601067909
54	0.7323784901	0.6006041239
55	0.7327478283	0.6001664721
56	0.7328149807	0.5996169026
57	0.7327526249	0.5994277392
58	0.7329540821	0.5990158936
59	0.733232285	0.5983681167
60	0.7332274884	0.5981428393
61	0.7334913014	0.5976604103
62	0.7337167416	0.5971294642
63	0.7339709614	0.596486208
64	0.734167622	0.5961778767
65	0.7342731472	0.5958731998
66	0.7342251812	0.5958117546
67	0.7342683506	0.5955109707
68	0.7345081806	0.5950826067
69	0.73455135	0.5948601095
70	0.73479118	0.5945289781
71	0.734887112	0.5943502062
72	0.7349734508	0.594041938
