iter	Passed	Remaining
0	37	55559
1	71	53582
2	106	53080
3	137	51109
4	168	50209
5	203	50557
6	238	50802
7	272	50743
8	307	50761
9	340	50566
10	373	50345
11	407	50347
12	441	50349
13	476	50386
14	513	50661
15	547	50571
16	577	50222
17	611	50194
18	647	50327
19	683	50389
20	713	50091
21	745	49934
22	782	50073
23	815	50008
24	851	50073
25	886	50100
26	923	50214
27	957	50165
28	990	50055
29	1024	50022
30	1062	50178
31	1097	50189
32	1132	50153
33	1167	50188
34	1205	50290
35	1239	50232
36	1278	50385
37	1309	50212
38	1354	50562
39	1390	50568
40	1422	50442
41	1455	50347
42	1490	50332
43	1527	50372
44	1557	50186
45	1590	50097
46	1619	49905
47	1656	49928
48	1685	49732
49	1715	49574
50	1749	49539
51	1783	49495
52	1821	49557
53	1850	49374
54	1884	49336
55	1914	49187
56	1948	49152
57	1978	49010
58	2014	49035
59	2047	48972
60	2079	48873
61	2110	48772
62	2142	48691
63	2177	48688
64	2209	48605
65	2239	48481
66	2272	48434
67	2302	48323
68	2333	48228
69	2363	48119
70	2395	48053
71	2431	48056
72	2459	47912
73	2493	47883
74	2523	47769
75	2554	47695
76	2586	47629
77	2622	47648
78	2653	47553
79	2686	47518
80	2716	47423
81	2750	47389
82	2780	47309
83	2810	47202
84	2844	47178
85	2875	47115
86	2906	47046
87	2939	46999
88	2972	46952
89	3003	46883
90	3034	46823
91	3070	46828
92	3107	46840
93	3140	46805
94	3175	46794
95	3208	46756
96	3238	46673
97	3267	46581
98	3304	46601
99	3335	46525
100	3366	46461
101	3400	46435
102	3432	46387
103	3459	46269
104	3493	46242
105	3529	46245
106	3564	46236
107	3596	46186
108	3630	46169
109	3664	46138
110	3700	46140
111	3734	46109
112	3764	46038
113	3795	45980
114	3826	45918
115	3858	45865
116	3883	45742
117	3917	45714
118	3952	45697
119	3984	45652
120	4010	45544
121	4047	45552
122	4079	45502
123	4115	45507
124	4143	45408
125	4178	45397
126	4213	45390
127	4246	45349
128	4278	45310
129	4310	45262
130	4344	45233
131	4372	45148
132	4400	45068
133	4432	45016
134	4466	44995
135	4498	44952
136	4532	44932
137	4566	44903
138	4600	44880
139	4634	44852
140	4667	44825
141	4698	44768
142	4731	44734
143	4762	44685
144	4796	44655
145	4829	44620
146	4863	44596
147	4897	44576
148	4928	44518
149	4957	44452
150	4990	44416
151	5027	44422
152	5063	44411
153	5100	44412
154	5131	44361
155	5167	44352
156	5201	44329
157	5235	44302
158	5264	44231
159	5295	44187
160	5327	44138
161	5356	44075
162	5388	44034
163	5421	43998
164	5452	43948
165	5487	43931
166	5519	43894
167	5552	43854
168	5578	43772
169	5618	43787
170	5647	43729
171	5680	43692
172	5717	43691
173	5752	43673
174	5784	43634
175	5825	43657
176	5858	43625
177	5897	43633
178	5931	43609
179	5964	43575
180	5996	43534
181	6032	43518
182	6063	43474
183	6095	43430
184	6129	43403
185	6164	43381
186	6199	43364
187	6229	43305
188	6261	43270
189	6294	43234
190	6327	43197
191	6354	43124
192	6387	43089
193	6415	43025
194	6446	42977
195	6476	42925
196	6509	42887
197	6542	42859
198	6572	42806
199	6607	42783
200	6642	42763
201	6676	42738
202	6712	42720
203	6748	42708
204	6779	42661
205	6809	42609
206	6841	42570
207	6874	42536
208	6907	42501
209	6943	42487
210	6975	42449
211	7014	42450
212	7044	42397
213	7077	42362
214	7108	42320
215	7137	42265
216	7169	42225
217	7201	42185
218	7232	42139
219	7265	42105
220	7297	42067
221	7328	42021
222	7358	41974
223	7391	41942
224	7425	41911
225	7455	41864
226	7489	41838
227	7516	41771
228	7545	41715
229	7578	41682
230	7621	41706
231	7653	41664
232	7687	41638
233	7717	41590
234	7751	41558
235	7783	41524
236	7818	41498
237	7853	41478
238	7882	41423
239	7914	41387
240	7945	41343
241	7982	41329
242	8015	41299
243	8050	41273
244	8082	41236
245	8117	41213
246	8151	41188
247	8184	41155
248	8218	41125
249	8251	41092
250	8281	41044
251	8313	41009
252	8349	40987
253	8379	40939
254	8412	40906
255	8441	40853
256	8475	40825
257	8508	40794
258	8545	40782
259	8577	40742
260	8609	40706
261	8641	40665
262	8668	40607
263	8704	40587
264	8738	40558
265	8771	40528
266	8806	40501
267	8838	40467
268	8869	40422
269	8900	40380
270	8934	40354
271	8964	40309
272	9000	40290
273	9030	40243
274	9064	40214
275	9095	40173
276	9126	40132
277	9162	40109
278	9193	40069
279	9221	40013
280	9252	39974
281	9284	39938
282	9317	39905
283	9354	39888
284	9391	39873
285	9422	39833
286	9456	39801
287	9489	39768
288	9522	39736
289	9550	39685
290	9585	39657
291	9612	39603
292	9650	39591
293	9679	39541
294	9709	39497
295	9745	39476
296	9775	39429
297	9806	39389
298	9838	39352
299	9870	39316
300	9899	39270
301	9928	39222
302	9959	39180
303	9989	39136
304	10022	39103
305	10055	39071
306	10089	39042
307	10117	38992
308	10150	38961
309	10181	38921
310	10212	38879
311	10240	38827
312	10278	38816
313	10313	38792
314	10344	38749
315	10376	38715
316	10408	38680
317	10438	38635
318	10473	38608
319	10505	38576
320	10537	38540
321	10572	38513
322	10603	38475
323	10635	38439
324	10665	38396
325	10700	38369
326	10734	38342
327	10764	38299
328	10792	38250
329	10823	38209
330	10858	38186
331	10893	38160
332	10929	38137
333	10960	38100
334	10991	38061
335	11022	38019
336	11055	37988
337	11087	37952
338	11123	37932
339	11156	37900
340	11185	37854
341	11218	37821
342	11254	37800
343	11288	37769
344	11321	37738
345	11349	37690
346	11389	37679
347	11414	37622
348	11449	37596
349	11483	37566
350	11515	37532
351	11549	37502
352	11581	37467
353	11613	37431
354	11651	37415
355	11684	37384
356	11720	37361
357	11753	37329
358	11786	37295
359	11821	37270
360	11849	37221
361	11882	37189
362	11915	37156
363	11945	37115
364	11977	37080
365	12008	37043
366	12041	37011
367	12069	36963
368	12097	36915
369	12124	36865
370	12158	36835
371	12192	36807
372	12226	36779
373	12259	36744
374	12291	36710
375	12322	36671
376	12355	36640
377	12381	36588
378	12412	36549
379	12444	36514
380	12478	36485
381	12515	36465
382	12542	36416
383	12568	36363
384	12602	36334
385	12630	36286
386	12659	36245
387	12694	36217
388	12723	36174
389	12753	36133
390	12782	36093
391	12815	36059
392	12846	36023
393	12881	35996
394	12913	35961
395	12944	35924
396	12973	35880
397	13005	35845
398	13040	35819
399	13073	35787
400	13107	35759
401	13136	35716
402	13165	35675
403	13193	35629
404	13225	35593
405	13259	35564
406	13289	35524
407	13318	35483
408	13350	35449
409	13384	35421
410	13415	35383
411	13446	35346
412	13477	35308
413	13507	35269
414	13541	35240
415	13575	35212
416	13607	35177
417	13638	35140
418	13671	35108
419	13705	35080
420	13741	35056
421	13773	35021
422	13804	34985
423	13833	34943
424	13864	34906
425	13895	34868
426	13929	34839
427	13960	34803
428	13990	34764
429	14027	34741
430	14061	34712
431	14093	34680
432	14127	34648
433	14163	34624
434	14195	34592
435	14228	34558
436	14260	34524
437	14290	34485
438	14324	34457
439	14353	34416
440	14384	34380
441	14416	34344
442	14448	34311
443	14478	34272
444	14506	34227
445	14542	34204
446	14576	34175
447	14610	34145
448	14641	34109
449	14673	34074
450	14708	34048
451	14743	34021
452	14771	33977
453	14800	33935
454	14831	33900
455	14864	33868
456	14895	33831
457	14926	33795
458	14962	33771
459	14994	33737
460	15025	33700
461	15058	33670
462	15090	33635
463	15124	33606
464	15155	33570
465	15187	33535
466	15219	33503
467	15252	33470
468	15283	33434
469	15319	33409
470	15353	33379
471	15386	33348
472	15418	33314
473	15446	33271
474	15476	33234
475	15509	33201
476	15539	33163
477	15570	33127
478	15599	33088
479	15631	33054
480	15665	33023
481	15696	32989
482	15730	32958
483	15755	32910
484	15784	32870
485	15814	32832
486	15843	32792
487	15877	32763
488	15912	32736
489	15946	32705
490	15977	32671
491	16009	32637
492	16040	32600
493	16071	32565
494	16106	32539
495	16139	32506
496	16178	32487
497	16209	32451
498	16237	32410
499	16268	32374
500	16303	32347
501	16335	32313
502	16364	32273
503	16394	32236
504	16428	32206
505	16458	32169
506	16494	32143
507	16529	32115
508	16561	32082
509	16590	32043
510	16625	32014
511	16659	31985
512	16694	31957
513	16728	31927
514	16760	31894
515	16796	31868
516	16832	31841
517	16862	31804
518	16897	31775
519	16929	31743
520	16956	31699
521	16983	31657
522	17014	31621
523	17048	31591
524	17076	31551
525	17108	31516
526	17137	31479
527	17168	31443
528	17201	31412
529	17233	31377
530	17266	31345
531	17298	31313
532	17332	31282
533	17362	31246
534	17391	31207
535	17423	31173
536	17456	31141
537	17486	31105
538	17515	31065
539	17545	31030
540	17582	31004
541	17613	30969
542	17647	30939
543	17675	30900
544	17710	30870
545	17739	30833
546	17767	30791
547	17798	30757
548	17833	30729
549	17862	30690
550	17891	30651
551	17923	30620
552	17958	30590
553	17989	30556
554	18021	30523
555	18056	30494
556	18086	30458
557	18117	30422
558	18146	30385
559	18177	30349
560	18212	30321
561	18242	30285
562	18276	30255
563	18309	30223
564	18341	30189
565	18373	30156
566	18404	30123
567	18433	30084
568	18466	30052
569	18499	30021
570	18532	29989
571	18562	29952
572	18594	29919
573	18631	29895
574	18668	29869
575	18702	29839
576	18735	29808
577	18766	29773
578	18797	29737
579	18830	29706
580	18860	29669
581	18895	29642
582	18926	29606
583	18958	29573
584	18989	29538
585	19026	29513
586	19058	29480
587	19087	29443
588	19117	29407
589	19150	29374
590	19185	29345
591	19216	29311
592	19246	29275
593	19279	29243
594	19310	29209
595	19341	29174
596	19369	29135
597	19401	29101
598	19434	29070
599	19471	29044
600	19502	29010
601	19534	28976
602	19563	28939
603	19593	28904
604	19631	28878
605	19658	28839
606	19691	28807
607	19725	28777
608	19757	28743
609	19791	28713
610	19826	28684
611	19865	28662
612	19898	28630
613	19930	28598
614	19967	28571
615	19997	28534
616	20032	28506
617	20063	28471
618	20096	28439
619	20129	28408
620	20166	28382
621	20196	28346
622	20228	28312
623	20254	28271
624	20286	28239
625	20315	28202
626	20348	28170
627	20380	28136
628	20410	28101
629	20443	28068
630	20469	28028
631	20504	27999
632	20538	27968
633	20570	27936
634	20607	27909
635	20646	27885
636	20675	27848
637	20705	27813
638	20738	27780
639	20773	27752
640	20805	27718
641	20836	27685
642	20869	27653
643	20902	27621
644	20934	27588
645	20969	27558
646	21007	27534
647	21040	27501
648	21067	27462
649	21099	27429
650	21135	27401
651	21168	27369
652	21197	27332
653	21233	27304
654	21265	27272
655	21298	27240
656	21329	27205
657	21361	27173
658	21393	27139
659	21427	27109
660	21459	27076
661	21491	27042
662	21517	27002
663	21551	26971
664	21585	26940
665	21617	26908
666	21651	26877
