metric,run_001,run_002,delta
Micro F1,0.7416586722947045,0.7415675364543362,-9.113584036835043e-05
Macro F1,0.680311690399399,0.6793955755276891,-0.0009161148717098389
Accuracy,0.7416586722947045,0.7415675364543362,-9.113584036835043e-05
AUC (macro OvR),0.8680058272873477,0.8680023542537677,-3.473033579948215e-06
Grade 1 F1,0.5577308644887369,0.5543793246200248,-0.0033515398687120612
Grade 2 F1,0.7909397552557264,0.7908819836785939,-5.77715771324927e-05
Grade 3 F1,0.6922644514537335,0.692925418284449,0.0006609668307154815
Grade 1 Precision,0.6823461510713513,0.6811015040325511,-0.0012446470388002284
Grade 1 Recall,0.4716030914983795,0.46741460982298677,-0.004188481675392708
Grade 2 Precision,0.7397090434233983,0.7398571522950327,0.00014810887163441144
Grade 2 Recall,0.8497947762766432,0.849466081196113,-0.0003286950805302391
Grade 3 Precision,0.7603155547933459,0.7597797838872932,-0.0005357709060527238
Grade 3 Recall,0.6353942729383438,0.6368847994955141,0.001490526557170302
