feature,value,label,run_id,n,error_rate,dangerous_miss_rate,grade3_recall
land_surface_condition,n,normal,run_001,28423,0.24684234598740457,0.40387546266057045,0.5961245373394296
land_surface_condition,n,normal,run_002,28423,0.2463849699187278,0.3989767036795123,0.6010232963204877
land_surface_condition,o,"obstacle (trees, rocks, etc.)",run_001,6693,0.24742268041237114,0.35985160758450124,0.6401483924154988
land_surface_condition,o,"obstacle (trees, rocks, etc.)",run_002,6693,0.24891677872404006,0.3606760098928277,0.6393239901071723
land_surface_condition,t,tilted / sloped terrain,run_001,173364,0.2606481161025357,0.3586018362504728,0.6413981637495272
land_surface_condition,t,tilted / sloped terrain,run_002,173364,0.26077501672780967,0.3575530415047626,0.6424469584952375
foundation_type,h,hard rock,run_001,1132,0.2782685512367491,0.23115577889447236,0.7688442211055276
foundation_type,h,hard rock,run_002,1132,0.27296819787985865,0.2185929648241206,0.7814070351758794
foundation_type,i,rocky or sandy soil,run_001,8402,0.2879076410378481,0.8742138364779874,0.12578616352201258
foundation_type,i,rocky or sandy soil,run_002,8402,0.2896929302547013,0.8867924528301887,0.11320754716981132
foundation_type,r,reinforced mat / slab,run_001,175408,0.25143665055185627,0.35074694295524367,0.6492530570447563
foundation_type,r,reinforced mat / slab,run_002,175408,0.2514936604943902,0.34948195891813744,0.6505180410818625
foundation_type,u,stiff mat / slab,run_001,11370,0.29349164467897976,0.5150399017802333,0.4849600982197667
foundation_type,u,stiff mat / slab,run_002,11370,0.2932277924362357,0.5082872928176796,0.49171270718232046
foundation_type,w,weak rock,run_001,12168,0.3027613412228797,0.9113175675675675,0.08868243243243243
foundation_type,w,weak rock,run_002,12168,0.3030078895463511,0.90625,0.09375
roof_type,n,normal,run_001,146328,0.26070881854463945,0.37560237365088217,0.6243976263491179
roof_type,n,normal,run_002,146328,0.26094800721666395,0.374029232546099,0.625970767453901
roof_type,q,quality / improved,run_001,49276,0.2423492166571962,0.32234451524566854,0.6776554847543315
roof_type,q,quality / improved,run_002,49276,0.2414359931812647,0.32123861182790037,0.6787613881720996
roof_type,x,special design,run_001,12876,0.29263746505125815,0.8059964726631393,0.19400352733686066
roof_type,x,special design,run_002,12876,0.29488971730351043,0.798941798941799,0.20105820105820105
ground_floor_type,f,floor,run_001,167856,0.25592174244590604,0.36008097165991904,0.639919028340081
ground_floor_type,f,floor,run_002,167856,0.2556298255647698,0.35844534412955464,0.6415546558704454
ground_floor_type,m,masonry,run_001,401,0.22693266832917705,0.6607142857142857,0.3392857142857143
ground_floor_type,m,masonry,run_002,401,0.22942643391521197,0.6785714285714286,0.32142857142857145
ground_floor_type,v,vault,run_001,19563,0.2913152379491898,0.7101167315175098,0.2898832684824903
ground_floor_type,v,vault,run_002,19563,0.292848745079998,0.7013618677042801,0.29863813229571984
ground_floor_type,x,wood,run_001,19865,0.2445507173420589,0.34765799256505575,0.6523420074349442
ground_floor_type,x,wood,run_002,19865,0.24671532846715327,0.34973977695167285,0.6502602230483271
ground_floor_type,z,stone / mud,run_001,795,0.3182389937106918,0.46511627906976744,0.5348837209302325
ground_floor_type,z,stone / mud,run_002,795,0.31069182389937106,0.4232558139534884,0.5767441860465117
other_floor_type,j,joists / bamboo,run_001,31900,0.29664576802507836,0.4001641458553172,0.5998358541446829
other_floor_type,j,joists / bamboo,run_002,31900,0.29796238244514106,0.39723296986751083,0.6027670301324891
other_floor_type,q,mud and stone,run_001,132161,0.24958951581782826,0.3705259620231894,0.6294740379768107
other_floor_type,q,mud and stone,run_002,132161,0.24972571333449353,0.3692656696353554,0.6307343303646445
other_floor_type,s,stone / rubble,run_001,9600,0.2998958333333333,0.7650273224043715,0.23497267759562843
other_floor_type,s,stone / rubble,run_002,9600,0.2989583333333333,0.7595628415300546,0.24043715846994534
other_floor_type,x,wood,run_001,34819,0.2450099083833539,0.3031020782396088,0.6968979217603912
other_floor_type,x,wood,run_002,34819,0.24409086992733853,0.30187958435207823,0.6981204156479217
position,j,adjacent to street,run_001,10669,0.25306964101602775,0.4261075414271221,0.573892458572878
position,j,adjacent to street,run_002,10669,0.25588152591620583,0.40852215082854243,0.5914778491714575
position,o,detached,run_001,1859,0.2415277030661646,0.6305732484076433,0.36942675159235666
position,o,detached,run_002,1859,0.2420656266810113,0.6220806794055201,0.37791932059447986
