feature,importance_gain,importance_split
geo3_x_mat_p_grade3,438633.0652282536,8434
geo3_x_mat_p_grade1,438598.62460044026,9400
geo3_x_mat_p_grade2,381762.18991202116,11087
geo3_x_fdn_p_grade2,257480.3100246191,11631
geo3_x_fdn_p_grade1,223703.5332352817,10118
geo3_x_fdn_p_grade3,214427.1401038468,8729
geo3_rate_x_age,88989.36405438185,23406
age_x_height,75873.72319963574,15743
geo3_rate_x_height,56349.27868667245,16488
area_x_floors,56249.521198928356,15218
geo3_p_grade3,53631.90775203705,5043
geo2_p_grade3,53157.06809106469,6139
geo3_p_grade1,50352.20494154096,5683
age,47169.12854516506,6583
geo2_p_grade2,47008.96009659767,7101
geo2_p_grade1,46738.22607919574,6584
geo3_minus_geo2_p3,46388.686507344246,10002
geo3_rate_x_floors,44670.618393182755,11912
area_percentage,43185.66307529807,12100
geo3_p_grade2,42766.85979685187,8244
geo3_collapse_x_foundation_r,41571.13236260414,4466
geo3_minus_geo1_p3,32811.48858046532,8394
ground_emb_1,27888.31583881378,1066
neigh_log1p_count,26043.507451742887,4438
neigh_mean_age,23882.227209955454,4813
geo3_collapse_x_weak_material,22131.99215757847,3964
geo1_p_grade3,21229.567895293236,3662
geo3_emb_24,19708.435193002224,4710
geo3_emb_18,19046.434889256954,4640
geo3_emb_22,19029.727847635746,4641
geo1_p_grade2,18999.0234926939,4603
geo3_emb_48,18917.965444535017,4531
geo3_emb_46,18881.465751945972,4662
geo3_emb_25,18870.890854477882,4557
geo3_emb_26,18791.30848261714,4569
geo3_emb_30,18583.125170081854,4645
geo3_emb_43,18568.1372500062,4605
geo3_emb_0,18522.3364970088,4468
geo1_p_grade1,18440.89781945944,4358
geo3_emb_13,18369.230101406574,4392
geo3_emb_16,18365.26442876458,4568
geo3_emb_34,18343.171937316656,4608
geo3_emb_39,18288.520523518324,4518
geo3_emb_14,18270.02885466814,4403
geo3_emb_38,18264.85585898161,4513
geo3_emb_20,18251.04845407605,4501
geo3_emb_49,18227.738049030304,4447
geo3_emb_29,18207.74087816477,4452
geo3_emb_15,18183.92070442438,4477
geo3_emb_8,18154.73401609063,4436
geo3_emb_27,18102.91370806098,4397
geo3_emb_28,18063.04140418768,4537
geo3_emb_5,18057.299205243587,4494
geo3_emb_21,18038.068907141685,4400
geo3_emb_35,18000.403162270784,4373
geo3_emb_41,17955.834023058414,4501
geo3_emb_47,17923.420794814825,4391
geo3_emb_11,17860.595179736614,4342
geo3_emb_10,17833.65738993883,4393
geo3_emb_12,17829.96962106228,4479
geo3_emb_44,17817.404605090618,4395
geo3_emb_4,17806.22956198454,4318
geo3_emb_17,17762.875518023968,4397
geo3_emb_40,17752.346644192934,4334
geo3_emb_37,17666.265346378088,4400
geo3_emb_3,17529.920541644096,4382
geo3_emb_1,17525.514371156693,4406
geo3_emb_9,17511.112535506487,4300
geo3_emb_7,17508.993209719658,4291
geo3_emb_31,17429.06110084057,4306
geo3_emb_23,17427.733613431454,4307
geo3_emb_2,17407.18880417943,4319
geo3_emb_45,17392.973448991776,4220
geo3_emb_33,17357.635756254196,4258
geo3_emb_19,17339.01338392496,4324
geo3_emb_32,17302.91685155034,4259
geo3_emb_42,17302.820869624615,4342
geo3_emb_36,17190.84194508195,4286
geo3_emb_6,17162.3782235682,4232
count_families,16929.98171234131,2613
floors_x_height,14594.46584200859,3886
geo2_emb_46,13797.572509646416,3188
geo2_emb_43,12884.299934506416,2946
geo2_emb_45,12731.76068508625,2992
geo2_emb_41,12540.466138780117,2895
geo2_emb_6,12458.754130542278,2912
geo2_emb_48,12455.731757760048,2926
geo2_emb_28,12454.870071351528,2854
geo2_emb_19,12364.34458592534,2825
geo2_emb_49,12318.787239968777,2992
geo2_emb_34,12293.821810007095,2838
geo2_emb_20,12290.87465196848,2863
geo2_emb_2,12279.751117706299,2860
geo2_emb_42,12276.737771630287,2866
geo2_emb_40,12175.516502827406,2832
geo2_emb_26,12159.949087798595,2877
geo2_emb_22,12122.01380571723,2846
geo2_emb_29,12110.938202857971,2892
geo2_emb_32,12082.584417581558,2904
geo2_emb_9,12080.799056112766,2878
geo2_emb_36,12045.330866664648,2800
geo2_emb_44,12032.123888969421,2888
geo2_emb_10,12003.672207385302,2769
geo2_emb_27,11977.079981088638,2759
geo2_emb_38,11968.187596201897,2812
geo2_emb_23,11943.239726871252,2801
geo2_emb_5,11941.521105647087,2882
geo2_emb_39,11925.006517589092,2869
geo2_emb_17,11906.889769613743,2762
geo2_emb_13,11903.248065382242,2864
geo2_emb_21,11889.015453219414,2872
geo2_emb_25,11832.011663556099,2833
geo2_emb_47,11819.42013835907,2780
geo2_emb_31,11817.135924458504,2799
geo2_emb_1,11780.890769451857,2746
geo2_emb_4,11723.39882183075,2833
geo2_emb_33,11704.93579351902,2701
geo2_emb_16,11697.733582556248,2699
geo2_emb_3,11695.715295135975,2788
geo2_emb_0,11585.936918199062,2803
geo2_emb_8,11582.387387007475,2712
geo2_emb_12,11548.724852621555,2811
